Browse	Prehľadávať
Specifies whether to display a vertical scrollbar at the right of the document window.	Určuje, či sa má zobrazovať zvislý posúvač v pravej časti okna dokumentu.
Sheet tabs	Záložky hárkov
Specifies whether to display the sheet tabs at the bottom of the spreadsheet document.	Určuje, či sa v dolnej časti okna dokumentu majú zobrazovať záložky hárkov.
Outline symbols	Symboly zoskupenia
Summary on search	Zhrnutie vyhľadávania
Synchronize sheets	Synchronizovať hárky
Specifies a color for the grid lines in the current document.	Určuje farbu mriežky v aktuálnom dokumente.
Grid lines:	Čiary mriežky:
Show on colored cells	Ukázať vo farebných bunkách
Specifies whether to view the page breaks within a defined print area.	Určuje, či sa v určenej tlačovej oblasti má zobrazovať zalomenie strany.
Helplines while moving	Vodiace čiary pri presúvaní
Specifies whether to view guides when moving drawings, frames, graphics and other objects.	Určuje, či sa pri presúvaní kresieb, rámcov, obrázkov a ďalších objektov majú zobrazovať vodiace čiary.
Visual Aids	Pomôcky zobrazenia
Objects/Images:	Objekty/obrázky:
Charts:	Grafy:
Drawing objects:	Objekty kresby:
Defines if objects and graphics are shown or hidden.	Určuje, či sa objekty a obrázky zobrazia alebo skryjú.
Defines if charts in your document are shown or hidden.	Určuje, či sa grafy zobrazia alebo skryjú.
Defines if drawing objects in your document are shown or hidden.	Určuje, či sa objekty kresby zobrazia alebo skryjú.
Variable 1 range:	Oblasť premennej 1:
Variable 2 range:	Oblasť premennej 2:
Calculates the paired t-Test of two data samples.	Vypočíta párový t-test dvoch vzoriek údajov.
Deactivate for	Deaktivovať pre
Allow:	Povoliť:
Data:	Dáta:
All values	Všetky hodnoty
Whole Numbers	Celé čísla
Cell range	Oblasť buniek
List	Zoznam
Text length	Dĺžka textu
Click a validation option for the selected cell(s).	Kliknite na overovaciu podmienku označenej bunky (buniek).
equal	rovné
less than or equal	je menšie alebo rovné
valid range	platný rozsah
invalid range	neplatný rozsah
Select the comparative operator that you want to use.	Vyberte porovnávací operátor, ktorý chcete použiť.
Enter the minimum value for the data validation option that you selected in the Allow box.	Zadajte minimálnu hodnotu pre overovaciu podmienku, ktorú ste vybrali v poli Povoliť.
Enter the entries that will be valid values or text strings.	Zadajte položky, ktoré budú platnými hodnotami alebo reťazcami.
Allow empty cells	Povoliť prázdne bunky
Show selection list	Zobraziť výberový zoznam
Sort entries ascending	Zoradiť položky vzostupne
Enter the maximum value for the data validation option that you selected in the Allow box.	Zadajte maximálnu hodnotu pre overovaciu podmienku, ktorú ste vybrali v poli Povoliť.
Specify the validation rules for the selected cell(s).	Určite overovacie pravidlo pre označenú bunku (bunky).
Validity	Platnosť
Input Help	Pomocník pri vstupe
Error Alert	Chybové hlásenie
Show input help when cell is selected	Zobraziť pomocníka vstupu pri vybraní bunky
Input help:	Pomocník vstupu:
Enter the title that you want to display when the cell or cell range is selected.	Zadajte nadpis, ktorý chcete zobraziť, keď je označená bunka alebo oblasť buniek.
Enter the message that you want to display when the cell or cell range is selected.	Zadajte správu, ktorú chcete zobraziť keď je označená bunka alebo oblasť buniek.
Enter the message that you want to display when the cell or cell range is selected in the sheet.	Zadajte správu pomocníka, ktorá bude zobrazená pri označení bunky alebo oblasti buniek v liste.
XML Source	XML zdroj
Browse to set source file.	Vyhľadajte zdrojový súbor.
- not set -	- nie je nastavený -
Source File	Zdrojový súbor
Mapped cell:	Priradená bunka:
Map to Document	Priradiť k dokumentu
Import XML data in a spreadsheet.	Importujte XML údaje do hárku.
Calculates the z-Test of two data samples.	Vypočíta z-test dvoch dátových vzoriek.
Returns the serial number of the date before or after a specified number of workdays	Vráti číslo reprezentujúce dátum o zadaný počet pracovných dní pred alebo po určenom počte pracovných dní
The start date	Počiatočný dátum
The number of workdays before or after the start date	Počet pracovných dní pred alebo po predvolenom dátume
Holidays	Sviatky
List of date values of days off (vacation, holidays, etc.)	Zoznam dátumov voľných dní (dni pracovného pokoja, sviatky a pod.)
Returns the number of years (including fractional part) between two dates	Vráti počet rokov (vrátane zlomkovej časti) medzi dvoma dátumami
The end date	Koncový dátum
Basis	Metóda
Basis indicates the day-count convention to use in the calculation	Báza určuje typ denného základu, ktorý sa používa vo výpočte
Number of months before or after the start date	Počet mesiacov pred alebo po počiatočnom dátume
The date or date serial number	Dátum alebo poradové číslo
Return type	Návratový typ
Indicates the first day of the week (1 = Sunday, 2 = Monday)	Určuje prvý deň v týždni (1=nedeľa, 2=pondelok)
List of date values representing days off (vacation, holidays, etc.)	Zoznam dátumov reprezentujúcich voľné dni (dni pracovného pokoja, sviatky a pod.)
Returns the value 'true' if the number is even	Vráti hodnotu 'true', ak je číslo párne
The number	Číslo
Returns the value 'true' if the number is odd	Vráti hodnotu 'true', ak je číslo nepárne
Returns the multinomial coefficient of a set of numbers	Vráti multinomický koeficient sady zadaných čísel
Number or list of numbers for which you want the multinomial coefficient	Číslo alebo zoznam čísel, pre ktoré chcete zistiť multinomický koeficient
Returns the sum of a power series	Vráti súčet mocnín
The independent variable of the power series	Nezávislá premenná radu
The initial power to which x is to be raised	Počiatočná mocnina hodnoty X
The increment by which to increase n for each term in the series	Hodnota, o ktorú sa bude zvyšovať argument N pre každý člen radu
Set of coefficients by which each successive power of the variable x is multiplied	Množina koeficientov, o ktoré bude každá nasledujúca mocnina hodnoty X vynásobená
Returns the integer portion of a division	Vráti celočíselnú časť po vydelení
Numerator	Čitateľ
The dividend	Delenec
Denominator	Menovateľ
The divisor	Deliteľ
Returns a number rounded to a specified multiple	Vráti číslo zaokrúhlené na zadaný násobok
The number to round off	Číslo na zaokrúhlenie
Multiple	Viacnásobné
The multiple to which you want to round number	Násobok, na ktorý chcete číslo zaokrúhliť
Returns the square root of a number which has been multiplied by pi	Vráti druhú odmocninu čísla vynásobeného číslom pí
The number by which pi is multiplied	Číslo, ktorým je PI vynásobené
Returns a random integer between the numbers you specify	Vráti náhodné celé číslo v zadanom intervale
The smallest integer returned	Najmenšie vrátené celé číslo
The largest integer returned	Najväčšie vrátené celé číslo
Number or list of numbers	Číslo alebo zoznam čísel
Returns the modified Bessel function In(x)	Vráti modifikovanú Besselovu funkciu In(x)
The value at which the function is to be evaluated	Hodnota, pre ktorú je funkcia vyhodnotená
The order of the Bessel function	Rad Besselovej funkcie
Returns the Bessel function Jn(x)	Vráti Besselovu funkciu Jn(x)
Returns the Bessel function Kn(x)	Vráti Besselovu funkciu Kn(x)
Returns the Bessel function Yn(x)	Vráti Besselovu funkciu Yn(x)
Converts a binary number to an octal number	Prevedie číslo z dvojkovej do osmičkovej sústavy
The binary number to be converted (as text)	Prevádzané číslo v dvojkovej sústave (zadané ako text)
Number of places used	Počet použitých miest
Converts a binary number to a decimal number	Prevedie číslo z dvojkovej do desiatkovej sústavy
Converts a binary number to a hexadecimal number	Prevedie číslo z dvojkovej do šestnástkovej sústavy
Number of places used.	Počet použitých miest.
Converts an octal number to a binary number	Prevedie číslo z osmičkovej do dvojkovej sústavy
The octal number to be converted (as text)	Prevádzané číslo v osmičkovej sústave (zadané ako text)
Converts an octal number to a decimal number	Prevedie číslo z osmičkovej do desiatkovej sústavy
Converts an octal number to a hexadecimal number	Prevedie číslo z osmičkovej do šestnástkovej sústavy
Converts a decimal number to a binary number	Prevedie číslo z desiatkovej do dvojkovej sústavy
The decimal integer to be converted	Prevádzané celé číslo v desiatkovej sústave
Converts a decimal number to a hexadecimal number	Prevedie číslo z desiatkovej do šestnástkovej sústavy
Converts a decimal number into an octal number	Prevedie číslo z desiatkovej do osmičkovej sústavy
The decimal number	Desiatkové číslo
Converts a hexadecimal number to a binary number	Prevedie číslo z šestnástkovej do dvojkovej sústavy
The hexadecimal number to be converted (as text)	Prevádzané číslo v šestnástkovej sústave (zadané ako text)
Converts a hexadecimal number to a decimal number	Prevedie číslo z šestnástkovej do desiatkovej sústavy
Converts a hexadecimal number to an octal number	Prevedie číslo vyjadrené z šestnástkovej do osmičkovej sústavy
Tests whether two values are equal	Testuje, či sú dve hodnoty rovnaké
The first number	Prvé číslo
The second number	Druhé číslo
Returns the error function	Vráti chybovú funkciu
Upper limit	Horný limit
The upper limit for integration	Horná hranica pre výpočet integrálu
Returns the complementary error function	Vráti doplnkovú chybovú funkciu
Tests whether a number is greater than a threshold value	Testuje, či je číslo väčšie ako prahová hodnota
The value to test against step	Testované číslo voči kroku
Step	Krok
The threshold value	Prahová hodnota
Returns the double factorial of Number	Vráti dvojitý faktoriál čísla
Returns the absolute value (modulus) of a complex number	Vráti absolútnu hodnotu (modul) komplexného čísla
Complex number	Komplexné číslo
The complex number	Komplexné číslo
Returns the imaginary coefficient of a complex number	Vráti imaginárnu časť komplexného čísla
Returns a complex number raised to a real power	Vráti komplexné číslo umocnené na reálne číslo
Power to which the complex number is raised	Mocnina, na ktorú sa má komplexné číslo umocniť
Returns the argument theta, an angle expressed in radians	Vráti argument théta, uhol vyjadrený v radiánoch
A complex number	Komplexné číslo
Returns the cosine of a complex number	Vráti kosínus komplexného čísla
Returns the quotient of two complex numbers	Vráti podiel dvoch komplexných čísel
Returns the algebraic form of the exponential of a complex number	Vráti algebrickú formu exponenciálu komplexného čísla
Returns the complex conjugate of a complex number	Vráti komplexné združené číslo
Returns the natural logarithm of a complex number	Vráti prirodzený logaritmus komplexného čísla
Returns the base-10 logarithm of a complex number	Vráti desiatkový logaritmus komplexného čísla
Returns the base-2 logarithm of a complex number	Vráti dvojkový logaritmus komplexného čísla
Returns the product of several complex numbers	Vráti súčin niekoľkých komplexných čísel
The first complex number	Prvé komplexné číslo
Another complex number	Ďalšie komplexné číslo
Returns the real coefficient of a complex number	Vráti reálnu časť komplexného čísla
Returns the sine of a complex number	Vráti sínus komplexného čísla
Returns the difference of two complex numbers	Vráti rozdiel dvoch komplexných čísel
Complex number 1	Komplexné číslo 1
Complex number 2	Komplexné číslo 2
Returns the square root of a complex number	Vráti druhú odmocninu komplexného čísla
Returns the sum of complex numbers	Vráti súčet komplexných čísel
Returns the tangent of a complex number	Vráti tangens komplexného čísla
Returns the secant of a complex number	Vráti sekans komplexného čísla
Returns the cosecant of a complex number	Vráti kosekans komplexného čísla
Returns the cotangent of a complex number	Vráti kotangens komplexného čísla
Returns the hyperbolic sine of a complex number	Vráti hyperbolický sínus komplexného čísla
Returns the hyperbolic cosine of a complex number	Vráti hyperbolický kosínus komplexného čísla
Returns the hyperbolic secant of a complex number	Vráti hyperbolický sekans komplexného čísla
Returns the hyperbolic cosecant of a complex number	Vráti hyperbolický kosekans komplexného čísla
Converts real and imaginary coefficients into a complex number	Prevedie reálny a imaginárny koeficient na komplexné číslo
Real num	Reálne číslo
The real coefficient	Reálny koeficient
I num	I čís
The imaginary coefficient	Imaginárny koeficient
The suffix	Prípona
Converts a number from one measurement system to another	Prevedie číslo z jedného merného systému do iného
From unit	Z jednotky
Unit of measure for number	Merná jednotka čísla
To unit	Na jednotku
Unit of measure for the result	Merná jednotka výsledku
Returns the prorated linear depreciation of an asset for each accounting period	Vráti časť odpisu pre odpisové obdobie
Cost of the asset	Obstarávacia cena
Date purchased	Dátum nákupu
Purchase date of the asset	Dátum obstarania prostriedku
First period	Prvé obdobie
Date the first period ends	Dátum konca prvého obdobia
Salvage value of an asset at the end of its life	Zostatková hodnota prostriedku na konci jeho životnosti
The period	Obdobie
The rate of depreciation	Odpisová sadzba
The year basis to be used	Použitý ročný základ
The date the first period ends	Dátum konca prvého obdobia
The salvage value of an asset at the end of its life	Zostatková hodnota prostriedku na konci jeho životnosti
Returns the accrued interest for a security that pays periodic interest	Vráti nahromadený úrok z cenného papiera, z ktorého sa úrok platí v pravidelných termínoch
Issue	Emisia
Issue date of the security	Dátum emisie cenného papieru
First interest	Prvý úrok
First interest date of the security	Dátum výplaty prvého úroku z cenného papiera
Settlement	Vysporiadanie
The settlement	Dátum účtovania cenného papiera
The rate	Úroková miera
Par	Nomhodnota
The par value	Nominálna hodnota
Frequency	Frekvencia
The frequency	Počet platieb za rok
The basis	Základ
Returns the accrued interest for a security that pays interest at maturity	Vráti nahromadený úrok z cenného papiera, u ktorého sa úrok spláca k dátumu splatnosti
The issue date	Dátum vydania cenného papiera
Returns the amount paid out at maturity for a fully invested security	Vráti čiastku vyplatenú k dátumu splatnosti plne investovaného cenného papiera
Maturity	Splatnosť
The maturity	Dátum splatnosti cenného papiera
The investment	Čiastka investovaná do cenného papiera
The discount	Diskontná sadzba cenného papiera
Returns the discount rate for a security	Vráti diskontnú sadzbu cenného papiera
Price	Cena
The price	Cena cenného papiera s hodnotou 100 menových jednotiek
Redemption	Výkupnácena
The redemption value	Výkupná hodnota cenného papiera s nominálnou hodnotou 100 menových jednotiek
Returns the annual Macaulay duration of a security with periodic interest payments	Vráti Macaulayovu dobu cenného papiera, u ktorého sa úrok platí v pravidelných termínoch
Coupon	Kupón
The coupon rate	Ročná kupónová sadzba cenného papiera
Yield	Výnos
The yield	Ročný výnos cenného papiera
Returns the effective annual interest rate	Vráti efektívnu ročnú úrokovú sadzbu
Nominal rate	Úrok
The nominal rate	Nominálna sadzba
Npery	Obdobie
The periods	Počet úročných období za rok
Returns the cumulative principal on a loan to be paid between two periods	Vráti kumulatívnu istinu splatnú medzi dvoma obdobiami pôžičky
Nper	Obdobie
Number of payment periods	Počet splátkových období
Pv	Pv
The present value	Súčasná hodnota
Start period	Počiatočné obdobie
The start period	Počiatočné obdobie pre výpočet
End period	Koncové obdobie
The end period	Koncové obdobie pre výpočet
The type of maturity	Typ splátky
Returns the cumulative interest to be paid between two periods	Vráti kumulatívny úrok splatný medzi dvoma obdobiami
Returns the price per 100 currency units face value of a security that pays periodic interest	Vráti cenu cenného papiera s nominálnou hodnotou 100 menových jednotiek, z ktorého je úrok platený v pravidelných termínoch
Returns the price per 100 currency units face value of a discounted security	Vráti cenu diskontného cenného papiera s nominálnou hodnotou 100 menových jednotiek
Returns the price per 100 currency units face value of a security that pays interest at maturity	Vráti cenu cenného papiera s nominálnou hodnotou 100 menových jednotiek, z ktorého je úrok platený k dátumu splatnosti
Returns the annual nominal interest rate	Vráti nominálnu ročnú úrokovú sadzbu
Converts a price expressed as a decimal into a price expressed as a fraction	Konvertuje cenu vyjadrenú ako desatinné číslo na zlomok
Decimal dollar	Cenadesatiny
Converts a price expressed as a fraction into a price expressed as a decimal	Konvertuje vyjadrenie ceny zo zlomku na desatinné číslo
Fractional dollar	Cenazlomku
The number as a fraction	Číslo ako zlomok
Returns the yield on a security that pays periodic interest	Vráti výnos z cenného papiera, z ktorého je úrok vyplácaný v pravidelných termínoch
Returns the annual yield for a discounted security	Vráti ročný výnos diskontného cenného papiera
Returns the annual yield of a security that pays interest at maturity	Vráti ročný výnos cenného papiera, z ktorého je úrok platený k dátumu splatnosti
Returns the bond-equivalent yield for a treasury bill	Vráti výnos zmenky ekvivalentnej výnosu obligácie
The discount rate	Diskontná sadzba zmenky
Returns the price of 100 currency units face value for a treasury bill	Vráti cenu zmenky s nominálnou hodnotou 100 menových jednotiek
Returns the yield for a treasury bill	Vráti výnos zmenky
Returns the price per $100 face value of a security with an odd first period	Vráti cenu cenného papiera s nominálnou hodnotou 100 menových jednotiek s odlišným prvým obdobím
First coupon	Prvá platba
The first coupon date	Dátum splátky prvého kupónu cenného papiera
Returns the yield of a security with an odd first period	Vráti výnos cenného papiera s odlišným prvým obdobím
Returns the price per $100 face value of a security with an odd last period	Vráti cenu cenného papiera s nominálnou hodnotou 100 menových jednotiek s odlišným posledným obdobím
Last interest	Posledný úrok
The last interest date	Dátum poslednej splátky cenného papiera
Returns the yield of a security with an odd last period	Vráti výnos cenného papiera s odlišným posledným obdobím
Returns the internal rate of return for a non-periodic schedule of payments	Vráti vnútornú výnosnosť pre neperiodický harmonogram platieb
The values	Hodnoty
Dates	Dátumy
The dates	Harmonogram dátumov platieb
The guess	Odhad
Returns the net present value for a non-periodic schedule of payments	Vráti čistú súčasnú hodnotu pre harmonogram platieb
Returns the interest rate for a fully invested security	Vráti úrokovú sadzbu plne investovaného cenného papiera
Returns the first coupon date after the settlement date	Vráti prvý dátum splátky kupónu po dátume účtovania
Returns the number of days in the coupon period containing the settlement date	Vráti počet dní v období platnosti kupónu, ktoré obsahujú deň účtovania
Returns the number of days from the settlement date to the next coupon date	Vráti počet dní od dátumu účtovania do nasledujúceho dátumu platenia kupónu
Returns the number of days from the beginning of the coupon period to the settlement date	Vráti počet dní od začiatku obdobia platenia kupónu do dátumu splatnosti
Returns the last coupon date preceding the settlement date	Vráti posledný dátum platenia kupónu pred dátumom účtovania
Returns the number of coupons payable between the settlement and maturity dates	Vráti počet kupónov splatných medzi dátumom účtovania a dátumom splatnosti
Principal	Istina
The principal	Súčasná hodnota istiny
Schedule	Rozpis
The schedule	Séria úrokových sadzieb
Calculates the number of weeks in a specific period	Vráti počet týždňov v zadanom období
First day of the period	Prvý deň obdobia
Last day of the period	Posledný deň obdobia
Type of calculation: Type=0 means the time interval, Type=1 means calendar weeks.	Typ výpočtu: Typ=0 určuje časový interval, Typ=1 znamená kalendárne týždne.
Determines the number of months in a specific period.	Vráti počet mesiacov v zadanom období.
First day of the period.	Prvý deň obdobia.
Last day of the period.	Posledný deň obdobia.
Type of calculation: Type=0 means the time interval, Type=1 means calendar months.	Typ výpočtu: Typ=0 určuje časový interval, Typ=1 znamená kalendárne mesiace.
Calculates the number of years in a specific period.	Vráti počet rokov v zadanom období.
Type of calculation: Type=0 means the time interval, Type=1 means calendar years.	Typ výpočtu: Typ=0 určuje časový interval, Typ=1 znamená kalendárne roky.
Returns 1 (TRUE) if the date is a day of a leap year, otherwise 0 (FALSE).	Vráti 1 (TRUE) ak dátum je dňom v prestupnom roku, inak vráti 0 (FALSE).
Any day in the desired year	Akýkoľvek deň v požadovanom roku
Returns the number of days of the month in which the date entered occurs	Vráti počet dní v mesiaci, do ktorého patrí zadaný dátum
Any day in the desired month	Akýkoľvek deň v požadovanom mesiaci
Returns the number of days of the year in which the date entered occurs.	Vráti počet dní v roku, do ktorého patrí zadaný dátum.
Returns the number of weeks of the year in which the date entered occurs	Vráti počet týždňov v roku, do ktorého patrí zadaný dátum
Encrypts or decrypts a text using the ROT13 algorithm	Šifruje alebo dešifruje text s použitím algoritmu ROT13
Text to be encrypted or text already encrypted	Text, ktorý má byť šifrovaný, alebo už zašifrovaný text
Pricing of a barrier option	Oceňovanie bariérovej ​​opcie
Spot	Spot
Price/value of the underlying asset	Cena/hodnota podkladového aktíva
Volatility	Volatilita
Annual volatility of the underlying asset	Ročná volatilita podkladového aktíva
Interest rate (continuously compounded)	Úroková sadzba (spojité úročenie)
Foreign rate	Zahraničná sadzba
Foreign interest rate (continuously compounded)	Zahraničná úroková sadzba (spojité úročenie)
Time to maturity of the option in years	Čas do splatnosti opcie v rokoch
Strike	Realizácia
Strike level of the option	Realizačná úroveň opcie
Lower barrier	Dolná bariéra
Lower barrier (set to 0 for no lower barrier)	Dolná bariéra (zadajte 0 pre opciu bez dolnej bariéry)
Upper barrier	Horná bariéra
Upper barrier (set to 0 for no upper barrier)	Horná bariéra (zadajte 0 pre opciu bez hornej bariéry)
Rebate	Rabat
Amount of money paid at maturity if barrier was hit	Množstvo peňazí vyplatené pri splatnosti, ak bola bariéra prelomená
Put/Call	Put/call
String to define if the option is a (p)ut or a (c)all	Reťazec určujúci, či je opcia (p)ut (predajná) alebo (c)all (kúpna)
Knock-In/Out	Knock-in/out
String to define if the option is of type knock-(i)n or knock-(o)ut	Reťazec určujúci, či je opcia typu knock-(i)n (aktivačná) alebo knock-(o)ut (deaktivačná)
Barrier type	Typ bariéry
String to define whether the barrier is observed (c)ontinuously or only at the (e)nd/maturity	Reťazec určujúci, či je bariéra sledovaná priebežne (c), alebo iba na konci pri splatnosti (e)
Greek	Greek
Pricing of a touch/no-touch option	Oceňovanie opcií touch/no-touch
Foreign/Domestic	Zahraničná/domáca
String to define if the option is of type knock-(i)n (touch) or knock-(o)ut (no-touch)	Reťazec určujúci, či je opcia typu knock-(i)n (aktivačná) alebo knock-(o)ut (deaktivačná)
Probability that an asset hits a barrier assuming it follows dS/S = mu dt + vol dW	Pravdepodobnosť, že aktívum prelomí bariéru, za predpokladu dS/S = mu dt + vol dW
Price/value S of the underlying asset	Cena/hodnota S podkladového aktíva
Drift	trend
Parameter mu in dS/S = mu dt + vol dW	Parameter mu v dS/S = mu dt + vol dW
Time to maturity	Čas do splatnosti
Price/value of the asset	Cena/hodnota aktíva
Annual volatility of the asset	Ročná volatilita aktíva
Drift	Trend
Parameter mu from dS/S = mu dt + vol dW	Parameter mu z dS/S = mu dt + vol dW
Time to maturity in years	Čas do splatnosti v rokoch
Optional strike level	Nepovinná realizačná úroveň
Optional (p)ut/(c)all indicator	Nepovinný údaj (p)ut/(c)all
OPTBARRIER	OPTBARRIER
OPTTOUCH	OPTTOUCH
OPTPROBHIT	OPTPROBHIT
OPTPROBINMONEY	OPTPROBINMONEY
WEEKS	WEEKS
MONTHS	MONTHS
YEARS	YEARS
ISLEAPYEAR	ISLEAPYEAR
DAYSINMONTH	DAYSINMONTH
DAYSINYEAR	DAYSINYEAR
WEEKSINYEAR	WEEKSINYEAR
ROT13	ROT13
WORKDAY	WORKDAY
YEARFRAC	YEARFRAC
EDATE	EDATE
EOMONTH	EOMONTH
AMORDEGRC	AMORDEGRC
AMORLINC	AMORLINC
ACCRINT	ACCRINT
ACCRINTM	ACCRINTM
RECEIVED	RECEIVED
DISC	DISC
DURATION	DURATION
PRICE	PRICE
PRICEDISC	PRICEDISC
PRICEMAT	PRICEMAT
MDURATION	MDURATION
DOLLARFR	DOLLARFR
DOLLARDE	DOLLARDE
YIELD	YIELD
YIELDDISC	YIELDDISC
YIELDMAT	YIELDMAT
TBILLEQ	TBILLEQ
TBILLPRICE	TBILLPRICE
TBILLYIELD	TBILLYIELD
ODDFPRICE	ODDFPRICE
ODDFYIELD	ODDFYIELD
ODDLPRICE	ODDLPRICE
ODDLYIELD	ODDLYIELD
XIRR	XIRR
XNPV	XNPV
INTRATE	INTRATE
COUPNCD	COUPNCD
COUPDAYS	COUPDAYS
COUPDAYSNC	COUPDAYSNC
COUPDAYBS	COUPDAYBS
COUPPCD	COUPPCD
COUPNUM	COUPNUM
FVSCHEDULE	FVSCHEDULE
MULTINOMIAL	MULTINOMIAL
SERIESSUM	SERIESSUM
QUOTIENT	QUOTIENT
MROUND	MROUND
SQRTPI	SQRTPI
RANDBETWEEN	RANDBETWEEN
BESSELI	BESSELI
BESSELJ	BESSELJ
BESSELK	BESSELK
BESSELY	BESSELY
BIN2DEC	BIN2DEC
BIN2HEX	BIN2HEX
BIN2OCT	BIN2OCT
DELTA	DELTA
DEC2BIN	DEC2BIN
DEC2HEX	DEC2HEX
DEC2OCT	DEC2OCT
ERF	ERF
ERFC	ERFC
GESTEP	GESTEP
HEX2BIN	HEX2BIN
HEX2DEC	HEX2DEC
HEX2OCT	HEX2OCT
IMABS	IMABS
IMAGINARY	IMAGINARY
IMPOWER	IMPOWER
IMARGUMENT	IMARGUMENT
IMCOS	IMCOS
IMDIV	IMDIV
IMEXP	IMEXP
IMCONJUGATE	IMCONJUGATE
IMLN	IMLN
IMLOG10	IMLOG10
IMLOG2	IMLOG2
IMPRODUCT	IMPRODUCT
IMREAL	IMREAL
IMSIN	IMSIN
IMSUB	IMSUB
IMSUM	IMSUM
IMSQRT	IMSQRT
IMTAN	IMTAN
IMSEC	IMSEC
IMCSC	IMCSC
IMCOT	IMCOT
IMSINH	IMSINH
IMCOSH	IMCOSH
IMSECH	IMSECH
IMCSCH	IMCSCH
COMPLEX	COMPLEX
OCT2BIN	OCT2BIN
OCT2DEC	OCT2DEC
OCT2HEX	OCT2HEX
CONVERT	CONVERT
FACTDOUBLE	FACTDOUBLE
%PRODUCTNAME Linear Solver	%PRODUCTNAME Lineárny riešič
%PRODUCTNAME CoinMP Linear Solver	%PRODUCTNAME Lineárny riešič CointMP
%PRODUCTNAME Swarm Non-Linear Solver (experimental)	Nelineárny riešiteľ %PRODUCTNAME používajúci roj (experimentálne)
Assume variables as non-negative	Predpokladať nezáporné premenné
Assume variables as integer	Predpokladať premenné ako celé čísla
Solving time limit (seconds)	Časový limit pre riešenie (sekundy)
Epsilon level (0-3)	Úroveň epsilon (0-3)
Limit branch-and-bound depth	Limitovať branch-and-bound hĺbku
Swarm algorithm (0 - Differential Evolution, 1 - Particle Swarm Optimization)	Algoritmus roja (0 - diferenciálna evolúcia, 1 - optimalizácia rojom častíc)
The model is not linear.	Model nie je lineárny.
The epsilon level is invalid.	Úroveň epsilon je neplatná.
The model is infeasible. Check limiting conditions.	Model je nereálny. Skontrolujte limitujúce podmienky.
The model is unbounded.	Model je neohnutý.
The time limit was reached.	Bol dosiahnutý časový limit.
ActiveX Control	Ovládací prvok ActiveX
Manage databases, create queries and reports to track and manage your information by using Base.	Spravovať databázy, vytvárať dotazy a zostavy na správu a analýzu svojich informácií s použitím Base.
Create and edit databases by using %PRODUCTNAME Base.	Vytvárajte a upravujte databázy pomocou %PRODUCTNAME Base.
Program Module	Programový modul
The application %PRODUCTNAME Base	Aplikácia %PRODUCTNAME Base
%PRODUCTNAME Base Help	Pomocník pre %PRODUCTNAME Base
Help about %PRODUCTNAME Base	Pomocník pre %PRODUCTNAME Base
PostgreSQL Connector	Konektor PostgreSQL
OpenDocument Database	OpenDocument Databáza
Perform calculations, analyze information and manage lists in spreadsheets by using Calc.	Počítajte, analyzujte informácie a spravujte zoznamy v zošitoch s použitím Calc.
The application %PRODUCTNAME Calc	Aplikácia %PRODUCTNAME Calc
%PRODUCTNAME Calc Help	Pomocník pre %PRODUCTNAME Calc
Help about %PRODUCTNAME Calc	Pomocník pre %PRODUCTNAME Calc
Add-ins are additional programs that make new functions available in %PRODUCTNAME Calc.	Ďalšie moduly sú programy, ktoré dodávajú nové funkcie do %PRODUCTNAME Calc.
&New	&Nový
%SXWFORMATNAME %SXWFORMATVERSION Spreadsheet	Tabuľkový dokument %SXWFORMATNAME %SXWFORMATVERSION
%SXWFORMATNAME %SXWFORMATVERSION Spreadsheet Template	Šablóna tabuľkového dokumentu %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Spreadsheet	Tabuľkový dokument OpenDocument
OpenDocument Spreadsheet Template	Šablóna tabuľkového dokumentu OpenDocument
Microsoft Excel 97-2003 Worksheet	Pracovný zošit Microsoft Excel 97-2003
Microsoft Excel Web Query File	Microsoft Excel Web Query File
Microsoft Excel 97-2003 Template	Šablóna Microsoft Excel 97-2003
Uniform Office Format Spreadsheet	Tabuľkový dokument Uniform Office Format
Lotus Quattro Pro Spreadsheet	Tabuľkový dokument Lotus Quattro Pro
Create and edit drawings, flow charts, and logos by using Draw.	Vytvárajte a upravujte obrázky, postupové diagramy a logá s použitím Draw.
Create and edit drawings, flow charts, and logos by using %PRODUCTNAME Draw.	Vytvárajte a upravujte obrázky, postupové diagramy a logá s použitím %PRODUCTNAME Draw.
The application %PRODUCTNAME Draw	Aplikácia %PRODUCTNAME Draw
%PRODUCTNAME Draw Help	Pomocník pre %PRODUCTNAME Draw
Help about %PRODUCTNAME Draw	Pomocník pre %PRODUCTNAME Draw
%SXWFORMATNAME %SXWFORMATVERSION Drawing	Kresba %SXWFORMATNAME %SXWFORMATVERSION
%SXWFORMATNAME %SXWFORMATVERSION Drawing Template	Šablóna kresby %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Drawing	Kresba OpenDocument
OpenDocument Drawing Template	Šablóna kresby OpenDocument
Microsoft Visio 2000/XP/2003 Document	Dokument Microsoft Visio 2000/XP/2003
Microsoft Visio 2000/XP/2003 Template	Šablóna Microsoft Visio 2000/XP/2003
Microsoft Publisher Document	Dokument Microsoft Publisher
WordPerfect Graphic File	Súbor WordPerfect Graphic
AutoCAD File	Súbor AutoCAD
Microsoft Enhanced Metafile	Microsoft Enhanced Metafile
